brand,spinpotential,stringname,stringlink,materialcode
Luxilon,3.2,Big Banger ALU Power Rough 125/16L,http://www.tennis-warehouse.com/descpage-ALUPR16.html,P
Luxilon,2.9,Adrenaline 17/1.20,http://www.tennis-warehouse.com/descpage-LADR130.html,P
Luxilon,2.1,Monotec Supersense 16L/1.25,http://www.tennis-warehouse.com/descpage-LXSS16L.html,P
Mantis,4.8,Comfort Poly 16,http://www.tennis-warehouse.com/descpage-MCP16.html,P
Mantis,4.8,Power Poly 17,http://www.tennis-warehouse.com/descpage-MPP17.html,P
Mantis,3.8,Comfort Synthetic 16,http://www.tennis-warehouse.com/descpage-MCS16.html,N
MSV,6.5,Focus Hex 17L (1.18),http://www.tennis-warehouse.com/descpage-MSVFH.html,P
MSV,6.3,Focus Hex Soft 17 (1.25),http://www.tennis-warehouse.com/descpage-FHS16RD.html,P
MSV,5.7,Hepta-Twist 17,http://www.tennis-warehouse.com/descpage-HEPTW17WH.html,P
MSV,4.9,Focus Evo 16,http://www.tennis-warehouse.com/descpage-FEVO16.html,P
MSV,4.5,Focus Evo 17,http://www.tennis-warehouse.com/descpage-FEVO17.html,P
MSV,4.2,Co.-Focus 16L,http://www.tennis-warehouse.com/descpage-MSVCF16.html,P
One Strings,5.1,Carbon NRG 16,http://www.tennis-warehouse.com/descpage-OSCNRG16.html,P
Pacific,5,ATP Poly Power Pro 16L,http://www.tennis-warehouse.com/descpage-PPPP16.html,P
Pacific,5,Poly Force Xtreme 16L,http://www.tennis-warehouse.com/descpage-PPFX16.html,P
Pacific,4.7,X Force 18,http://www.tennis-warehouse.com/descpage-PXF18.html,P
Pacific,4.5,Poly Force 16L,http://www.tennis-warehouse.com/descpage-PPFO16.html,P
Pacific,4.4,Poly Force 17,http://www.tennis-warehouse.com/descpage-PPFO17.html,P
Pacific,4.5,X Force 17,http://www.tennis-warehouse.com/descpage-PXF17.html,P
Pacific,4.4,Prime Natural Gut 16,http://www.tennis-warehouse.com/descpage-PNGP16.html,G
Pacific,3.5,Power Line 17,http://www.tennis-warehouse.com/descpage-PPLSG17.html,N
Pacific,3.4,Power Line 16L,http://www.tennis-warehouse.com/descpage-PPLSG16L.html,N
Pacific,3.3,Premium Power X 16L,http://www.tennis-warehouse.com/descpage-PPX16.html,N
Pacific,3.2,Power Twist 16L,http://www.tennis-warehouse.com/descpage-PPT16L.html,N
Pacific,2.8,Classic Natural Gut 16,http://www.tennis-warehouse.com/descpage-PNGC16.html,G
Pacific,2,PMX 16L,http://www.tennis-warehouse.com/descpage-PPMX16.html,N
Pacific,1.8,Tough Gut 16,http://www.tennis-warehouse.com/descpage-PTG16.html,G
Poly Star,5.3,Turbo 16 (1.30),http://www.tennis-warehouse.com/descpage-PT16S.html,P
Poly Star,5.1,Strike 16 (1.30),http://www.tennis-warehouse.com/descpage-PS16S.html,P
Poly Star,5,Turbo 16L (1.25),http://www.tennis-warehouse.com/descpage-PT16LS.html,P
Poly Star,4.8,Strike 16L (1.25),http://www.tennis-warehouse.com/descpage-PS16LS.html,P
Poly Star,4.4,Classic 16L (1.25),http://www.tennis-warehouse.com/descpage-PC16LS.html,P
Poly Star,4.2,Classic 16 (1.30),http://www.tennis-warehouse.com/descpage-PC16S.html,P
Poly Star,4,Classic 17 (1.20),http://www.tennis-warehouse.com/descpage-PC17S.html,P
Poly Star,4,Energy 16 (1.30),http://www.tennis-warehouse.com/descpage-PE16S.html,P
Poly Star,4,Energy 17 (1.20),http://www.tennis-warehouse.com/descpage-PE17S.html,P
Poly Star,3.7,Energy 16L (1.25),http://www.tennis-warehouse.com/descpage-PE16LS.html,P
Polyfibre,5.2,Hexablade 17L (1.18),http://www.tennis-warehouse.com/descpage-PFHB17S.html,P
Polyfibre,4.6,Hexablade 16L (1.25),http://www.tennis-warehouse.com/descpage-PFHB16S.html,P
Polyfibre,4.4,Hightec Premium 16L,http://www.tennis-warehouse.com/descpage-HTP16L.html,P
Polyfibre,4.4,Poly Hightec 16L,http://www.tennis-warehouse.com/descpage-PHT16L.html,P
Polyfibre,4.4,TCS 16/1.30,http://www.tennis-warehouse.com/descpage-TCS16.html,P
Polyfibre,4.3,Black Venom 16 (1.30),http://www.tennis-warehouse.com/descpage-PFBV16S.html,P
Polyfibre,4.3,TCS Rapid 16L/1.25,http://www.tennis-warehouse.com/descpage-TCSR16L.html,P
Polyfibre,4.2,Hightec Premium 16/1.30,http://www.tennis-warehouse.com/descpage-HTP160.html,P
Polyfibre,4.2,TCS 17,http://www.tennis-warehouse.com/descpage-TCS17.html,P
Polyfibre,4.1,Poly Hightec 16/1.30,http://www.tennis-warehouse.com/descpage-PHT16.html,P
Polyfibre,4,Poly Hightec 17,http://www.tennis-warehouse.com/descpage-PHT17.html,P
Polyfibre,3.9,Hightec Premium 17,http://www.tennis-warehouse.com/descpage-HTP17.html,P
Polyfibre,3.9,Poly Hightec 18,http://www.tennis-warehouse.com/descpage-PHT18.html,P
Polyfibre,3.9,Viper 17/1.20,http://www.tennis-warehouse.com/descpage-VIPER17.html,P
Polyfibre,3.8,TCS 16L,http://www.tennis-warehouse.com/descpage-TCS16L.html,P
Polyfibre,3.6,Cobra 17/1.20,http://www.tennis-warehouse.com/descpage-PFRAZ17.html,P
Prince,6.4,Tour XT 18,http://www.tennis-warehouse.com/descpage-PTXT18.html,P
Prince,5.9,Tour XC 17L,http://www.tennis-warehouse.com/descpage-PTXC17L.html,P
Prince,5.5,Tour XC 15L,http://www.tennis-warehouse.com/descpage-PTXC15L.html,P
Prince,5.5,Tour XC 16L,http://www.tennis-warehouse.com/descpage-PTXC16L.html,P
Prince,5.5,Tour XP 16,http://www.tennis-warehouse.com/descpage-PTXP16.html,P
Prince,5.5,Tour XS 16,http://www.tennis-warehouse.com/descpage-PTXS125.html,P
Prince,5.4,Premier Control 16,http://www.tennis-warehouse.com/descpage-PPC16.html,N
Prince,5.3,Topspin Plus 16,http://www.tennis-warehouse.com/descpage-T16.html,N
Prince,5.2,Tour XP 15L,http://www.tennis-warehouse.com/descpage-PTXP15L.html,P
Prince,5,Premier Power 18,http://www.tennis-warehouse.com/descpage-PPPWR18.html,N
Prince,5,Tour XS 1.35,http://www.tennis-warehouse.com/descpage-PTXS135.html,P
Prince,4.7,Premier Control 17,http://www.tennis-warehouse.com/descpage-PPC17.html,N
Prince,4.6,Premier Control 15,http://www.tennis-warehouse.com/descpage-PPC15.html,N
Prince,4.6,Premier Control 15L,http://www.tennis-warehouse.com/descpage-PPC15L.html,N
Prince,4.6,Premier Power 16,http://www.tennis-warehouse.com/descpage-PPPWR16.html,N
Prince,4.4,Poly EXP 17,http://www.tennis-warehouse.com/descpage-PPEXP17GR.html,P
Prince,4.4,Premier Touch 15L,http://www.tennis-warehouse.com/descpage-PPT15L.html,N
Prince,4.3,Premier Power 17,http://www.tennis-warehouse.com/descpage-PPPWR17.html,N
Prince,4.2,Premier Touch 17,http://www.tennis-warehouse.com/descpage-PPT17.html,N
Prince,4.1,Premier Touch 16,http://www.tennis-warehouse.com/descpage-PPT16.html,N
Prince,3.9,Beast XP 16,http://www.tennis-warehouse.com/descpage-PB16.html,P
Prince,3.8,Syn Gut Original 17,http://www.tennis-warehouse.com/descpage-OS17.html,N
Prince,3.7,Twisted 16L,http://www.tennis-warehouse.com/descpage-PT16L.html,P
Prince,3.6,Synthetic Gut 18 Duraflex,http://www.tennis-warehouse.com/descpage-S18.html,N
Prince,3.5,Lightning XX 17,http://www.tennis-warehouse.com/descpage-PLXX17.html,N
Prince,3.5,Premier LT 18,http://www.tennis-warehouse.com/descpage-PPLT18.html,N
Prince,3.5,Topspin W/ Duraflex 15L,http://www.tennis-warehouse.com/descpage-T15.html,N
Prince,3.4,Lightning XX 16,http://www.tennis-warehouse.com/descpage-PLXX16.html,N
Prince,3.4,Recoil 16,http://www.tennis-warehouse.com/descpage-PREC16.html,N
Prince,3.4,Tour 17,http://www.tennis-warehouse.com/descpage-PT17.html,P
Prince,3.3,Poly Spin 3D,http://www.tennis-warehouse.com/descpage-PS3D16.html,P
Prince,3.3,Premier LT 17,http://www.tennis-warehouse.com/descpage-PPLT17.html,N
Prince,3.3,Premier W/Softflex 16,http://www.tennis-warehouse.com/descpage-PSF16.html,N
Prince,3.2,Premier W/ Softflex 17,http://www.tennis-warehouse.com/descpage-PSF17.html,N
Prince,3.1,Tour 16,http://www.tennis-warehouse.com/descpage-PT16.html,P
Prince,3.1,Tournament Nylon 15L,http://www.tennis-warehouse.com/descpage-PN.html,N
Prince,2.9,Syn Gut Original 16,http://www.tennis-warehouse.com/descpage-OS16.html,N
RS,5.4,RS Lyon 17,http://www.tennis-warehouse.com/descpage-RSL17.html,P
Signum Pro,5.9,Plasma HEXtreme 16L/1.25,http://www.tennis-warehouse.com/descpage-SIGPHEX16.html,P
Signum Pro,5.6,Poly-Plasma Pure 16L,http://www.tennis-warehouse.com/descpage-SIGPPP16LW.html,P
Signum Pro,5.2,Poly-Plasma Pure 17 (1.23),http://www.tennis-warehouse.com/descpage-SIGPPP170W.html,P
Signum Pro,5.1,Tornado 16,http://www.tennis-warehouse.com/descpage-SIGTORN160.html,P
Signum Pro,5,Poly-Plasma 17L (1.18),http://www.tennis-warehouse.com/descpage-SIGPPP17L.html,P
Signum Pro,4.8,Firestorm 1.25,http://www.tennis-warehouse.com/descpage-SFS17.html,P
Signum Pro,4.8,Poly Megaforce 17 (1.19),http://www.tennis-warehouse.com/descpage-SIGPPM17L.html,P
Signum Pro,4.8,Tornado 17 (1.23),http://www.tennis-warehouse.com/descpage-SIGTORN170.html,P
Signum Pro,4.7,Poly-Plasma 16L,http://www.tennis-warehouse.com/descpage-SIGPPP16L.html,P
Signum Pro,4.6,Hyperion 16,http://www.tennis-warehouse.com/descpage-SIGHYP160.html,P
Signum Pro,4.3,Poly Megaforce 16,http://www.tennis-warehouse.com/descpage-SIGPPM16.html,P
Signum Pro,4.3,Poly Speed Spin 1.28,http://www.tennis-warehouse.com/descpage-SIGPSS16.html,P
Signum Pro,4.2,Hyperion 17 (1.24),http://www.tennis-warehouse.com/descpage-SIGHYP170.html,P
Solinco,7,Hyper-G 16,http://www.tennis-warehouse.com/descpage-SHG16.html,P
Solinco,6.9,Tour Bite 16 Soft,http://www.tennis-warehouse.com/descpage-STBS16.html,P
Solinco,6.7,Tour Bite 16,http://www.tennis-warehouse.com/descpage-STB16.html,P
Solinco,6.6,Revolution 17,http://www.tennis-warehouse.com/descpage-SREV17.html,P
Solinco,6.4,Revolution 16,http://www.tennis-warehouse.com/descpage-SREV16.html,P
Solinco,6.3,Tour Bite 17,http://www.tennis-warehouse.com/descpage-STB17.html,P
Solinco,6,Outlast 16,http://www.tennis-warehouse.com/descpage-SOUT16.html,P
Solinco,5.9,Tour Bite 16L (1.25),http://www.tennis-warehouse.com/descpage-STB16L.html,P
Solinco,5.8,Tour Bite 18 (1.15),http://www.tennis-warehouse.com/descpage-STB18.html,P
Solinco,5.5,Outlast 17,http://www.tennis-warehouse.com/descpage-SOUT17.html,P
Solinco,4.9,Barb Wire 17 (1.20),http://www.tennis-warehouse.com/descpage-SBW17.html,P
Solinco,4.9,Tour Bite Diamond Rough 16 (1.30),http://www.tennis-warehouse.com/descpage-STBDR16.html,P
Solinco,4.4,Barb Wire 16,http://www.tennis-warehouse.com/descpage-SBW16.html,P
Solinco,4.3,Tour Bite Diamond Rough 17 (1.20),http://www.tennis-warehouse.com/descpage-STBDR17.html,P
Solinco,3.9,Vanquish 16,http://www.tennis-warehouse.com/descpage-SVAN16.html,N
Tecnifibre,9.8,Black Code 4S 17 (1.25),http://www.tennis-warehouse.com/descpage-TBC4S17.html,P
Tecnifibre,5,Pro Red Code 18,http://www.tennis-warehouse.com/descpage-TPRC18.html,P
Tecnifibre,4.9,Pro Red Code 16,http://www.tennis-warehouse.com/descpage-TPRC16.html,P
Tecnifibre,4.8,Pro Red Code 17,http://www.tennis-warehouse.com/descpage-TPRC17.html,P
Tecnifibre,4.6,Black Code 18,http://www.tennis-warehouse.com/descpage-TBC18.html,P
Tecnifibre,4.3,HDX Tour 16 (1.30),http://www.tennis-warehouse.com/descpage-HDXT16.html,N+
Tecnifibre,4.2,Black Code 17,http://www.tennis-warehouse.com/descpage-TBC17.html,P
Tecnifibre,4.2,Razor Code 16 (1.30),http://www.tennis-warehouse.com/descpage-TFRC16B.html,P
Tecnifibre,3.8,Polyspin 16L,http://www.tennis-warehouse.com/descpage-PSS.html,P
Tecnifibre,3.7,Pro Mix 17,http://www.tennis-warehouse.com/descpage-TPM17S.html,N+
Tecnifibre,3.5,NRG2 17/1.24,http://www.tennis-warehouse.com/descpage-NRG17.html,N
Tecnifibre,3.3,Multi-Feel 16,http://www.tennis-warehouse.com/descpage-MF16.html,N+
Tecnifibre,3.2,NRG2 16,http://www.tennis-warehouse.com/descpage-NRG16.html,N
Tecnifibre,3.1,TGV 16,http://www.tennis-warehouse.com/descpage-TGV16.html,N+
Tecnifibre,3,TGV 17/1.25,http://www.tennis-warehouse.com/descpage-TGV17.html,N+
Tecnifibre,3,XR3 17,http://www.tennis-warehouse.com/descpage-XR317.html,N+
Tecnifibre,2.9,XR3 16,http://www.tennis-warehouse.com/descpage-XR316.html,N+
Tecnifibre,2.7,E-Matrix 16,http://www.tennis-warehouse.com/descpage-EMX16.html,N+
Tecnifibre,2.6,Multi-Feel 17 (1.25),http://www.tennis-warehouse.com/descpage-MF17.html,N+
Tecnifibre,2.6,NRG2 18 (1.18),http://www.tennis-warehouse.com/descpage-NRG18.html,N+
Tecnifibre,2.6,Pro Mix 16,http://www.tennis-warehouse.com/descpage-TPMS.html,N+
Tecnifibre,2.4,E-Matrix 17,http://www.tennis-warehouse.com/descpage-EMX17.html,N
Tecnifibre,2.2,Duramix HD 16,http://www.tennis-warehouse.com/descpage-TDMHD16.html,N+
Tecnifibre,2.1,X-One Biphase 17,http://www.tennis-warehouse.com/descpage-X117.html,N+
Tecnifibre,2,X-Code 16,http://www.tennis-warehouse.com/descpage-XCODE16.html,P
Tecnifibre,1.7,Duramix HD 17,http://www.tennis-warehouse.com/descpage-TDMHD17.html,N+
Tecnifibre,1.6,X-One Biphase 16,http://www.tennis-warehouse.com/descpage-X116.html,N+
Tecnifibre,1.6,X-One Biphase 18,http://www.tennis-warehouse.com/descpage-X118.html,N
Topspin,5.8,Cyber Blue 16,http://www.tennis-warehouse.com/descpage-CPOW16.html,P
Topspin,5.1,Cyber Blue 17,http://www.tennis-warehouse.com/descpage-CPOW17.html,P
Topspin,4.8,Cyber Flash 16,http://www.tennis-warehouse.com/descpage-TCF16.html,P
Topspin,4.6,Cyber Flash 17L,http://www.tennis-warehouse.com/descpage-TCF17L.html,P
Topspin,4.2,Cyber Flash 17,http://www.tennis-warehouse.com/descpage-TCF17.html,P
Tourna,6.3,Big Hitter Black 7 17,http://www.tennis-warehouse.com/descpage-UBHBK17.html,P
Tourna,5.6,Black Zone 16,http://www.tennis-warehouse.com/descpage-UBKZ16.html,P
Tourna,5.4,Big Hitter Silver 17,http://www.tennis-warehouse.com/descpage-UBIGHIT17.html,P
Tourna,4.9,Big Hitter Blue 17,http://www.tennis-warehouse.com/descpage-UBHB17.html,P
Tourna,4.5,Big Hitter Silver Rough 16,http://www.tennis-warehouse.com/descpage-UBHITR.html,P
Tourna,4.1,Big Hitter Silver Rough 17,http://www.tennis-warehouse.com/descpage-UBHIT17R.html,P
Tourna,3.4,Big Hitter Blue Rough 16,http://www.tennis-warehouse.com/descpage-UBHBR16.html,P
Tourna,3.2,Big Hitter Blue Rough 17,http://www.tennis-warehouse.com/descpage-UBHBR17.html,P
Tourna,3,Irradiated 16,http://www.tennis-warehouse.com/descpage-TFIBER.html,N
Volkl,8.2,Cyclone 19 (1.10),http://www.tennis-warehouse.com/descpage-VCYC19.html,P
Volkl,7.1,Cyclone 18,http://www.tennis-warehouse.com/descpage-VCYC18.html,P
Volkl,6.9,V-Star 16 (1.30),http://www.tennis-warehouse.com/descpage-VS16S.html,P
Volkl,6.2,Cyclone 16,http://www.tennis-warehouse.com/descpage-VCYC16.html,P
Volkl,6.1,Cyclone Tour 17 (1.25),http://www.tennis-warehouse.com/descpage-VCTR17.html,P
Volkl,5.8,Cyclone 17,http://www.tennis-warehouse.com/descpage-VCYC17.html,P
Volkl,5.6,V-Torque 16,http://www.tennis-warehouse.com/descpage-VT16.html,P
Volkl,5.2,Synthetic Gut 17,http://www.tennis-warehouse.com/descpage-VSG17.html,N
Volkl,5.1,Synthetic Gut 16,http://www.tennis-warehouse.com/descpage-VSG16.html,N
Volkl,5.1,V-Pro 17,http://www.tennis-warehouse.com/descpage-VPRO17.html,P
Volkl,5,V-Pro 16,http://www.tennis-warehouse.com/descpage-VPRO16.html,P
Volkl,4.9,V-Pro 18,http://www.tennis-warehouse.com/descpage-VPRO18.html,P
Volkl,4.4,Gripper 17,http://www.tennis-warehouse.com/descpage-VGRIP17.html,N
Volkl,3.2,Power-Fiber II 16,http://www.tennis-warehouse.com/descpage-VPF16.html,N
Volkl,2.9,Power-Fiber II 18,http://www.tennis-warehouse.com/descpage-VPF218.html,N
Volkl,2.7,Power-Fiber II 17,http://www.tennis-warehouse.com/descpage-VPF17.html,N
Weiss Cannon,4.8,Turbotwist 17L (1.18),http://www.tennis-warehouse.com/descpage-TURBTW17L.html,P
Weiss Cannon,4.7,Black 5 Edge 17 (1.24),http://www.tennis-warehouse.com/descpage-WCBFE.html,P
Weiss Cannon,4.2,Scorpion 1.33,http://www.tennis-warehouse.com/descpage-WCSC133.html,P
Weiss Cannon,4.2,Turbotwist 17 (1.24),http://www.tennis-warehouse.com/descpage-TURBTW17.html,P
Weiss Cannon,4,Explosiv 1.30,http://www.tennis-warehouse.com/descpage-WCX133.html,N
Weiss Cannon,4,Scorpion 1.22,http://www.tennis-warehouse.com/descpage-WCSC122.html,P
Weiss Cannon,3.8,Silverstring 1.25,http://www.tennis-warehouse.com/descpage-WCS125.html,P
Weiss Cannon,3.7,Silverstring 120,http://www.tennis-warehouse.com/descpage-WCS120.html,P
Weiss Cannon,3.6,MatchPower 1.25,http://www.tennis-warehouse.com/descpage-WCMP125.html,P
Wilson,7.7,Revolve 17 (1.25),http://www.tennis-warehouse.com/descpage-WRV17.html,P
Wilson,5.2,Enduro Tour 16,http://www.tennis-warehouse.com/descpage-WEND16.html,P
Wilson,5.2,Ripspin 16,http://www.tennis-warehouse.com/descpage-WR16W.html,P
Wilson,5.2,Ripspin 17,http://www.tennis-warehouse.com/descpage-WR17W.html,P
Wilson,4.9,Ripspin 15,http://www.tennis-warehouse.com/descpage-WR15W.html,P
Wilson,4.8,Enduro Tour 17,http://www.tennis-warehouse.com/descpage-WEND17.html,P
Wilson,4.7,Enduro Pro 16,http://www.tennis-warehouse.com/descpage-WEP16.html,P
Wilson,4.5,NXT Duramax 15 (1.40),http://www.tennis-warehouse.com/descpage-NXTDM15.html,N
Wilson,4.4,K-Gut 16,http://www.tennis-warehouse.com/descpage-WKGUT16.html,N
Wilson,4.2,Spin Cycle 16L,http://www.tennis-warehouse.com/descpage-WSC16L.html,P
Wilson,4,Enduro Pro 17 (1.25),http://www.tennis-warehouse.com/descpage-WEPRO17SV.html,N+
Wilson,3.9,Hollow Core Pro 17,http://www.tennis-warehouse.com/descpage-WHCP17.html,N
Wilson,3.9,NXT 16,http://www.tennis-warehouse.com/descpage-NXT16.html,N
Wilson,3.8,NXT Tour 16,http://www.tennis-warehouse.com/descpage-NXTTOUR16.html,N
Wilson,3.6,NXT Tour 17,http://www.tennis-warehouse.com/descpage-NXTTOUR17.html,N
Wilson,3.6,Optimus 16 (1.30),http://www.tennis-warehouse.com/descpage-WOPT16.html,N
Wilson,3.6,Sensation 17,http://www.tennis-warehouse.com/descpage-SEN17.html,N
Wilson,3.5,Sensation 16,http://www.tennis-warehouse.com/descpage-SEN16.html,N
Wilson,3.3,Hollow Core 16,http://www.tennis-warehouse.com/descpage-TWHC16.html,N
Wilson,3.2,Extreme 16 Synthetic Gut,http://www.tennis-warehouse.com/descpage-EXT16.html,N
Wilson,3.1,SGX 16,http://www.tennis-warehouse.com/descpage-WSGX16.html,N
Wilson,3,NXT Control 16 (1.32),http://www.tennis-warehouse.com/descpage-NXTC16.html,N+
Wilson,3,Red Alert 16,http://www.tennis-warehouse.com/descpage-WRAS.html,N
Wilson,3,Sensation Supreme 16,http://www.tennis-warehouse.com/descpage-SSUP16.html,N
Wilson,3,Stamina 16,http://www.tennis-warehouse.com/descpage-STAM16.html,N
Wilson,2.8,Synthetic Gut Extreme 17,http://www.tennis-warehouse.com/descpage-EXT17.html,N
Wilson,2.5,NXT Max 16,http://www.tennis-warehouse.com/descpage-NXTMAX16.html,N
Wilson,2.5,NXT OS,http://www.tennis-warehouse.com/descpage-NXTOS16.html,N
Wilson,2.4,Reaction 16,http://www.tennis-warehouse.com/descpage-WR16.html,N
Wilson,2.3,Shock Shield 16,http://www.tennis-warehouse.com/descpage-WSS16.html,N
Wilson,2.2,Hollow Core Pro 16,http://www.tennis-warehouse.com/descpage-WHCP16.html,N
Wilson,2.2,Natural Gut 17,http://www.tennis-warehouse.com/descpage-WNAT17.html,G
Wilson,2,NXT 17,http://www.tennis-warehouse.com/descpage-NXT17.html,N
Wilson,1.6,K-Gut Pro 16,http://www.tennis-warehouse.com/descpage-WKGUTP16.html,N
Wilson,1.3,Natural Gut 16,http://www.tennis-warehouse.com/descpage-WNAT16.html,G
Yonex,4.8,Polytour Spin G 1.25,http://www.tennis-warehouse.com/descpage-YPTSG16LR.html,P
Yonex,3.4,Poly Tour Pro Yellow 16 (1.30),http://www.tennis-warehouse.com/descpage-YPTP130.html,P
Y-Tex,6.2,Quadro Twist 16L,http://www.tennis-warehouse.com/descpage-YTQTBK16L.html,P
